category	Colour	Type	Fabric	work
saree	baby pink	floral printed	cotton	printed
saree	beige	floral printed	cotton	printed
saree	beige	printed woven	cotton	woven
saree	beige	printed woven	cotton	woven
saree	beige	printed woven	cotton	woven
saree	beige	woven banarasi	cotton	woven
saree	beige	woven banarasi	cotton	woven
saree	beige	floral printed	linen	printed
saree	beige	kalamkari printed	linen	printed
saree	beige	kalamkari printed	shimmer silk	printed
saree	beige	printed	silk	printed
saree	beige	printed woven	silk	woven
saree	black	floral printed	chiffon	printed
saree	black	printed	chiffon	printed
saree	black	ikkat printed	cotton blend	printed
saree	black	ikkat printed	cotton blend	printed
saree	black	printed	cotton blend	printed
blouse	black	self woven	cotton	dyed
blouse	black	plain	cotton	plain
saree	black	printed	cotton	printed
saree	black	printed	cotton	printed
saree	black	foil printed	georgette	printed
saree	black	bandhani	georgette	printed
shapewear	black	plain	lycra	plain
saree	black	printed	satin	printed
blouse	black	plain	silk	embroidery
blouse	black	plain	silk	embroidery
blouse	black	plain	silk	sequence embroidery
blouse	black	plain	silk	sequence embroidery
saree	black	woven banarasi	silk	woven
saree	black	woven banarasi	silk	woven
saree	black	woven paithani	silk	woven
saree	black	woven paithani	silk	woven
saree	black	woven paithani	silk	woven
saree	black	printed	vichitra silk	printed
saree	black	printed	vichitra silk	printed
saree	blue	bandhani printed	chiffon	printed
saree	blue	printed woven	cotton	woven
saree	blue	bandhani printed	georgette	printed
saree	blue	printed	georgette	printed
saree	blue	ikkat printed	linen	printed
saree	blue	ikkat printed	linen	printed
saree	blue	kalamkari printed	shimmer silk	printed
saree	blue	printed	silk	printed
saree	blue	printed	silk	printed
saree	blue	woven banarasi	silk	woven
saree	blue	kalamkari printed	tussar silk	printed
saree	bright yellow	printed	cotton	printed
saree	brown	ikkat printed	chiffon	printed
saree	brown	ikkat printed	cotton blend	printed
saree	brown	printed woven	cotton	woven
saree	brown	kalamkari printed	linen	printed
saree	brown	sequence embroidery	silk	embroidery
saree	brown	woven	tissue silk	woven
saree	copper	woven	tissue silk	woven
saree	coral pink	sequence embroidery	tissue silk	embroidery
saree	coral pink	woven	tissue silk	woven
saree	coral pink	woven	tissue silk	woven
saree	coral pink	woven	tissue silk	woven
saree	coral red	kalamkari printed	shimmer silk	printed
saree	cream	woven banarasi	cotton	woven
saree	cream	kalamkari printed	linen	printed
saree	cream	printed	linen	printed
shapewear	cream	plain	lycra	plain
saree	cream	woven banarasi	silk	woven
saree	cream	woven banarasi	silk	woven
saree	cream	woven kanjivaram	silk	woven
saree	dark blue	printed	bhagalpuri silk	printed
saree	dark blue	ikkat printed	cotton blend	printed
blouse	dark blue	self woven	cotton	dyed
saree	dark green	bandhani printed	chiffon	printed
saree	dark green	ikkat printed	cotton blend	printed
saree	dark green	bandhani printed	georgette	printed
saree	dark green	foil printed	georgette	printed
shapewear	dark green	plain	lycra	plain
shapewear	dark green	plain	lycra	plain
saree	dark green	woven banarasi	silk	woven
saree	dark green	woven banarasi	silk	woven
saree	dark green	woven banarasi	silk	woven
saree	dark green	woven paithani	silk	woven
