handle,title,category
baby-pink-cotton-floral-printed-saree-4957s7148,Baby Pink Cotton Floral Printed Saree,
beige-cotton-floral-printed-saree-4835s165,Beige  Cotton Floral Printed Saree,
beige-cotton-printed-woven-saree-4892s882,Beige Cotton Printed Woven Saree,
beige-cotton-printed-woven-saree-4893s892,Beige Cotton Printed Woven Saree,
beige-cotton-printed-woven-saree-4893s895,Beige Cotton Printed Woven Saree,
beige-cotton-woven-banarasi-saree-70073s171,Beige Cotton Woven Banarasi Saree,
beige-cotton-woven-banarasi-saree-70073s172,Beige Cotton Woven Banarasi Saree,
beige-linen-floral-printed-kalamkari-saree-4362s364,Beige Linen Floral Printed Kalamkari Saree,
beige-linen-kalamkari-saree-4364s396,Beige Linen Kalamkari Saree,
beige-shimmer-silk-printed-kalamkari-saree-4529s527,Beige Shimmer Silk Printed Kalamkari Saree,
beige-silk-printed-saree-70078s226,Beige Silk Printed Saree,
beige-silk-woven-printed-saree-70082s261,Beige Silk Woven Printed Saree,
black-chiffon-floral-printed-saree-4473s231,Black Chiffon Floral Printed Saree,
black-chiffon-printed-saree-4473s237,Black Chiffon Printed Saree,
black-cotton-blend-ikkat-printed-saree-4359s291,Black Cotton Blend Ikkat Printed Saree,
black-cotton-blend-ikkat-printed-saree-4359s298,Black Cotton Blend Ikkat Printed Saree,
black-cotton-printed-saree-3999s124,Black Cotton Blend Printed Saree,
black-cotton-dyed-self-woven-blouse-73b1229,Black Cotton Dyed Self Woven Blouse,
black-cotton-plain-plain-blouse-52b776,Black Cotton Plain Plain Blouse,
black-cotton-printed-saree-4313s104,Black Cotton Printed Saree,
black-cotton-printed-saree-4510s155,Black Cotton Printed Saree,
black-georgette-foil-printed-saree-4402s3152,Black Georgette Foil Printed Saree,
red-georgette-lace-bandhani-saree-4132s137,Black Georgette Lace Bandhani Saree,
black-lycra-plain-elastic-waist-shapewear-754swtk310,Black Lycra Plain Elastic Waist Shapewear,
black-satin-printed-saree-4733s6998,Black Satin Printed Saree,
black-silk-plain-embroidery-blouse-55b833,Black Silk Plain Embroidery Blouse,
black-silk-plain-embroidery-blouse-56b858,Black Silk Plain Embroidery Blouse,
black-silk-plain-sequence-blouse-53b805,Black Silk Plain Sequence Blouse,
black-silk-sequence-embroidery-blouse-51b766,Black Silk Sequence Embroidery Blouse,
black-silk-woven-banarasi-saree-3952s466,Black Silk Woven Banarasi Saree,
black-silk-woven-banarasi-saree-70062s134,Black Silk Woven Banarasi Saree,
black-silk-woven-paithani-saree-4360s937,Black Silk Woven Paithani Saree,
black-silk-woven-paithani-saree-5168s134,Black Silk Woven Paithani Saree,
black-silk-woven-paithani-saree-5171s1271,Black Silk Woven Paithani Saree,
black-vichitra-silk-printed-saree-4310s262,Black Vichitra Silk Printed Saree,
black-vichitra-silk-printed-saree-4310s264,Black Vichitra Silk Printed Saree,
blue-chiffon-bandhani-printed-lace-saree-4989s143,Blue Chiffon Bandhani Printed Lace Saree,
blue-cotton-printed-woven-saree-4893s891,Blue Cotton Printed Woven Saree,
blue-georgette-printed-bandhani-saree-4486s553,Blue Georgette Printed Bandhani Saree,
blue-georgette-printed-saree-4466s3187,Blue Georgette Printed Saree,
blue-linen-ikkat-printed-saree-4409s448,Blue Linen Ikkat Printed Saree,
blue-linen-ikkat-printed-saree-4409s452,Blue Linen Ikkat Printed Saree,
blue-shimmer-silk-printed-kalamkari-saree-4528s516,Blue Shimmer Silk Printed Kalamkari Saree,
blue-silk-printed-saree-4492s362,Blue Silk Printed Saree,
blue-silk-printed-saree-4492s366,Blue Silk Printed Saree,
blue-woven-banarasi-silk-saree-lfharispari7385,Blue Silk Woven Banarasi Saree,
blue-tussar-silk-printed-kalamkari-saree-4306s342,Blue Tussar Silk Printed Kalamkari Saree,
bright-yellow-cotton-printed-saree-4592s185,Bright Yellow Cotton Printed Saree,
brown-chiffon-ikkat-printed-saree-4157s113,Brown Chiffon Ikkat Printed Saree,
brown-cotton-blend-ikkat-printed-saree-4359s294,Brown Cotton Blend Ikkat Printed Saree,
brown-cotton-printed-woven-saree-4892s886,Brown Cotton Printed Woven Saree,
brown-linen-kalamkari-saree-4363s386,Brown Linen Kalamkari Saree,
brown-silk-sequence-embroidery-lace-saree-70005s111,Brown Silk Sequence Embroidery Lace Saree,
brown-tissue-silk-woven-saree-70080s243,Brown Tissue Silk Woven Saree,
copper-tissue-silk-woven-saree-70080s241,Copper Tissue Silk Woven Saree,
coral-pink-tissue-silk-sequence-embroidery-saree-4981s853,Coral Pink Tissue Silk Sequence Embroidery Saree,
coral-pink-tissue-silk-woven-saree-70080s242,Coral Pink Tissue Silk Woven Saree,
coral-pink-tissue-silk-woven-saree-70080s244,Coral Pink Tissue Silk Woven Saree,
coral-pink-tissue-silk-woven-saree-70083s274,Coral Pink Tissue Silk Woven Saree,
coral-red-shimmer-silk-printed-kalamkari-saree-4531s541,Coral Red Shimmer Silk Printed Kalamkari Saree,
cream-cotton-woven-banarasi-saree-70073s176,Cream Cotton Woven Banarasi Saree,
cream-linen-kalamkari-saree-4364s399,Cream Linen Kalamkari Saree,
cream-linen-printed-saree-4300s337,Cream Linen Printed Saree,
beige-lycra-plain-elastic-waist-shapewear-754swtk303,Cream Lycra Plain Elastic Waist Shapewear,
cream-silk-woven-banarasi-saree-4949s1231,Cream Silk Woven Banarasi Saree,
cream-silk-woven-banarasi-saree-4949s1233,Cream Silk Woven Banarasi Saree,
cream-woven-kanjivaram-silk-saree-3933s492,Cream Woven Kanjivaram Silk Saree,
dark-blue-bhagalpuri-silk-printed-saree-4160s229,Dark Blue Bhagalpuri Silk Printed Saree,
dark-blue-cotton-blend-ikkat-printed-saree-4359s292,Dark Blue Cotton Blend Ikkat Printed Saree,
dark-blue-cotton-dyed-self-woven-blouse-73b1238,Dark Blue Cotton Dyed Self Woven Blouse,
dark-blue-cotton-ikkat-printed-saree-4347s134,Dark Blue Cotton Ikkat Printed Saree,
dark-green-chiffon-printed-bandhani-saree-4156s102,Dark Green Chiffon Printed Bandhani Saree,
dark-green-cotton-blend-ikkat-printed-saree-4359s300,Dark Green Cotton Blend Ikkat Printed Saree,
dark-green-georgette-bandhani-printed-lace-saree-4986s113,Dark Green Georgette Bandhani Printed Lace Saree,
dark-green-georgette-foil-printed-saree-4402s3154,Dark Green Georgette Foil Printed Saree,
dark-green-lycra-plain-elastic-waist-shapewear-754swtk308,Dark Green Lycra Plain Elastic Waist Shapewear,
dark-green-lycra-plain-elastic-waist-shapewear-755swtk408,Dark Green Lycra Plain Elastic Waist Shapewear,
dark-green-silk-woven-banarasi-saree-3952s462,Dark Green Silk Woven Banarasi Saree,
dark-green-silk-woven-banarasi-saree-4640s133,Dark Green Silk Woven Banarasi Saree,
dark-green-silk-woven-banarasi-saree-70062s133,Dark Green Silk Woven Banarasi Saree,
dark-green-silk-woven-paithani-saree-5167s1262,Dark Green Silk Woven Paithani Saree,
dark-green-silk-woven-paithani-saree-5171s1273,Dark Green Silk Woven Paithani Saree,
dark-grey-lycra-plain-elastic-waist-shapewear-754swtk313,Dark Grey Lycra Plain Elastic Waist Shapewear,
dark-grey-lycra-plain-elastic-waist-shapewear-755swtk413,Dark Grey Lycra Plain Elastic Waist Shapewear,
dark-magenta-silk-woven-banarasi-saree-4338s669,Dark Magenta Silk Woven Banarasi Saree,
dark-maroon-cotton-lycra-dyed-self-woven-blouse-73b1255,Dark Maroon Cotton Lycra Dyed Self Woven Blouse,
dark-navy-blue-tussar-silk-printed-kalamkari-saree-4295s272,Dark Navy Blue Tussar Silk Printed Kalamkari Saree,
dark-oilve-green-tissue-silk-woven-saree-70083s273,Dark Oilve Green Tissue Silk Woven Saree,
dark-pink-georgette-bandhani-printed-lace-saree-4986s111,Dark Pink Georgette Bandhani Printed Lace Saree,
dark-pink-shimmer-stone-work-swarovski-saree-70029s124,Dark Pink Shimmer Stone Work Swarovski Saree,
dark-pink-silk-woven-paithani-saree-5168s135,Dark Pink Silk Woven Paithani Saree,
dark-pink-silk-woven-patola-saree-70077s214,Dark Pink Silk Woven Patola Saree,
dark-purple-satin-sequence-embroidery-saree-4858s172,Dark Purple Satin Sequence Embroidery  Saree,
dark-purple-silk-woven-banarasi-saree-70031s111,Dark Purple Silk Woven Banarasi Saree,
dark-purple-silk-woven-paithani-saree-4547s6904,Dark Purple Silk Woven Paithani Saree,
dark-purple-silk-woven-paithani-saree-5005s7162,Dark Purple Silk Woven Paithani Saree,
dark-purple-silk-woven-paithani-saree-5006s7175,Dark Purple Silk Woven Paithani Saree,
dark-purple-silk-woven-paithani-saree-70061s122,Dark Purple Silk Woven Paithani Saree,
dark-purple-silk-woven-banarasi-saree-3990s153,Dark Purple Woven Banarasi Silk Saree,
blue-silk-woven-saree-3748s465,Dark Rama Blue Silk Woven Banarasi Saree,
dusty-beige-chiffon-woven-border-saree-5188s1259,Dusty Beige Chiffon Woven Border Saree,
dusty-blue-shimmer-silk-printed-kalamkari-saree-4526s497,Dusty Blue Shimmer Silk Printed Kalamkari Saree,
dusty-blue-tussar-silk-printed-kalamkari-saree-4293s252,Dusty Blue Tussar Silk Printed Kalamkari Saree,
dusty-brown-georgette-bandhani-printed-lace-saree-4986s112,Dusty Brown Georgette Bandhani Printed Lace Saree,
dusty-green-linen-kalamkari-saree-4364s391,Dusty Green Linen Kalamkari Saree,
dusty-pink-lycra-plain-elastic-waist-shapewear-754swtk309,Dusty Pink Lycra Plain Elastic Waist Shapewear,
dusty-pink-lycra-plain-elastic-waist-shapewear-755swtk409,Dusty Pink Lycra Plain Elastic Waist Shapewear,
dusty-purple-cotton-woven-printed-saree-4933s931,Dusty Purple Cotton Woven Printed Saree,
dusty-purple-tussar-silk-printed-kalamkari-saree-4298s305,Dusty Purple Tussar Silk Printed Kalamkari Saree,
dusty-rama-blue-linen-floral-printed-saree-4362s361,Dusty Rama Blue Linen Floral Printed Saree,
dusty-rose-pink-cotton-woven-banarasi-saree-70073s175,Dusty Rose Pink Cotton Woven Banarasi Saree,
dusty-teal-blue-shimmer-embroidery-saree-70004s102,Dusty Teal Blue Shimmer Embroidery Saree,
dusty-teal-blue-shimmer-sequence-embroidery-saree-5025s111,Dusty Teal Blue Shimmer Sequence Embroidery Saree,
dusty-wine-linen-kalamkari-saree-4364s395,Dusty Wine Linen Kalamkari Saree,
gold-tissue-silk-woven-saree-70083s271,Gold Tissue Silk Woven Saree,
golden-cotton-silk-embroidery-saree-4955s281,Golden Cotton Silk Embroidery Saree,
